date,abstract,keywords,doc_type,material_type,news_desk
2020-02-02,"Whether your escape of choice is football, J. Lo or Buffalo chicken dip, today is your day — it’s been quite a week. But first, here’s what you need to know in business and tech news before heading into Monday. ","['Coronavirus (2019-nCoV)', 'United States Economy']",article,News,SundayBusiness
2020-02-02,"The victory over Dominic Thiem in five sets gave Djokovic his 17th Grand Slam singles title, and allowed him to reclaim the No. 1 ranking.","['Australian Open (Tennis)', 'Tennis']",article,News,Sports
2020-02-02,Here’s what you need to know about the week’s top stories.,[],article,briefing,NYTNow
2020-02-02,The San Francisco 49ers and the Kansas City Chiefs are ready to battle for N.F.L. supremacy in a matchup worthy of the spectacle attached to it.,"['Football', 'Super Bowl']",article,News,Sports
2020-02-02,The union of Watkins College of Art and Belmont University in Nashville prompted concern that non-Christian faculty members could be purged.,"['Colleges and Universities', 'Art', 'Mergers, Acquisitions and Divestitures']",article,News,Express
2020-02-02,"We’ve got you covered for the Super Bowl and the days to come, with blender-made chocolate mousse, takeout-style sesame noodles and pork cutlets with lemon.",['Cooking and Cookbooks'],article,News,Dining
2020-02-02,The shooting occurred after people were stabbed in South London. The motive was unclear. The suspect had a fake explosive device strapped to his body.,"['Police Brutality, Misconduct and Shootings', 'Terrorism']",article,News,Foreign
2020-02-02,The state with a huge influence in picking presidential candidates doesn’t look much like the country as a whole. Except in the 60-plus crowd.,"['Presidential Election of 2020', 'Population', 'Economic Conditions and Trends', 'Elderly', 'Age, Chronological', 'Primaries and Caucuses']",article,News,Politics
2020-02-02,"In two heated screenplay races, potential Oscar front-runners emerge. But “Once Upon a Time … in Hollywood” can’t be counted out.","['Movies', 'Academy Awards (Oscars)']",article,News,Culture
2020-02-02,"A sports fan who found Bryant difficult to root for during his basketball career grapples with the pain, and regret, he feels in the wake of his death.",['Basketball'],article,News,Sports
2020-02-02,Readers offer suggestions to deal with “surveillance capitalism.” Also: Barring Iranian students; conversations about cancer.,"['Privacy', 'Smartphones', 'Cancer']",article,Letter,Letters
2020-02-02,"Hiram Monserrate, the first member of New York’s Legislature to be expelled in nearly a century, is running again.","['Elections, State Legislature', '#MeToo Movement', 'Corruption (Institutional)', 'Politics and Government', 'Domestic Violence']",article,News,Metro
2020-02-02,Iowa voted strongly for Barack Obama twice and for Donald Trump by nine points in 2016. It could be a national barometer again in November.,"['Presidential Election of 2020', 'Voting and Voters']",article,News,Politics
2020-02-02,"It is nearly impossible to get the care they need to treat, or even diagnose, the coronavirus, say residents at the crisis’ center.","['Coronavirus (2019-nCoV)', 'Hospitals', 'Epidemics', 'Shortages']",article,News,Foreign
2020-02-02,A six-part documentary tells the story of the great 20th-century McDonald’s Monopoly fraud case with quirky characters and lackluster visuals.,"['Television', 'Frauds and Swindling', 'Documentary Films and Programs']",article,News,Culture
2020-02-02,"Caucusgoers, uniquely, will declare their loyalty before their friends and neighbors. And they are taking their responsibility very seriously.","['Primaries and Caucuses', 'Presidential Election of 2020', 'United States Politics and Government']",article,News,Politics
2020-02-02,Uplifting spots from major brands stayed away from divisive issues on TV’s biggest ad day. But Trump and Bloomberg crashed the party.,"['Super Bowl', 'ADVERTISING AND MARKETING', 'Television', 'Football']",article,News,Business
2020-02-02,"The American Symphony Orchestra, led by Leon Botstein and joined by the pianist Lucas Debargue, programmed Spohr, Ustvolskaya, Liszt and Reger.",['Classical Music'],article,Review,Culture
